Frame,Length
1,258.79
51,259.31
101,251.64
151,260.22
201,251.34
251,246.58
301,246.19
351,244.56
401,243.26
451,242.59
501,239.57
551,244.72
601,239.95
651,237
701,236.37
751,235.54
801,234.8
851,240.32
901,230.4
951,228.91
1001,225.05
1051,251.7
1101,223.55
1151,223.29
1201,220.02
1251,219.91
1301,230.07
1351,219.17
1401,214.38
1451,218.26
1501,214.34
1551,213.41
1601,209.56
1651,211.77
1701,210.51
1751,211.81
1801,206.82
1851,201.54
1901,230.17
1951,205.71
2001,204.01
2051,203.48
2101,207.12
2151,201.93
2201,202.52
2251,209.06
2301,202.01
2351,203.72
2401,197.69
