Frame,Length
1,259.44
51,255.86
101,257.85
151,252.63
201,253.21
251,252.05
301,250.7
351,248.07
401,245.69
451,250.08
501,245.44
551,243.47
601,244.32
651,245.18
701,243.14
751,245.65
801,241.03
851,241.41
901,238.72
951,240.02
1001,239.59
1051,236.62
1101,235.12
1151,228.81
1201,233.2
1251,228.88
1301,226.56
1351,223.58
1401,245.4
1451,222.68
1501,222.59
1551,223.7
1601,221.98
1651,220.32
1701,218.01
1751,227.2
1801,225.32
1851,217.53
1901,218.98
1951,218.67
2001,219.81
2051,216.2
2101,217.33
2151,220.69
2201,224.74
2251,219.48
2301,218.49
2351,223.57
2401,221.92
2451,217.22
2501,223.39
2551,232.79
