Frame,Length
1,265.45
51,262.47
101,262.82
151,259.08
201,257.04
251,261.18
301,252.49
351,252.66
401,251.12
451,250.04
501,248.73
551,246.67
601,246.67
651,249.3
701,246
751,243.13
801,240.93
851,238.61
901,235.78
951,239.83
1001,240.26
1051,239.1
1101,238.59
1151,236.01
1201,233.33
1251,234.4
1301,238.24
1351,233.48
1401,228.55
1451,226.11
1501,228.9
1551,226.47
1601,223.75
1651,224.97
1701,218.88
1751,237.12
1801,222.4
1851,220.11
1901,219.7
1951,231.25
2001,220.89
2051,220.23
2101,218.8
2151,214.47
2201,211.96
2251,211.51
2301,212.74
2351,214.44
2401,214.27
2451,212.1
2501,211.5
2551,208.41
2601,216.43
2651,208.66
2701,217.96
