Frame,Length
1,250.31
51,254.26
101,249.91
151,243.25
201,245.75
251,242.18
301,240.01
351,239.54
401,233.5
451,237.55
501,234.73
551,234.39
601,230.59
651,231.66
701,231.14
751,230.64
801,229.38
851,232.46
901,222.43
951,221.92
1001,233.7
1051,221.14
1101,222.83
1151,226.23
1201,231.87
1251,210.48
1301,221.14
1351,240.59
1401,211.15
1451,209.72
1501,213.66
1551,212.82
1601,212.24
1651,207.9
1701,209.4
1751,206.85
1801,208.89
1851,205.35
1901,206.67
1951,209.53
2001,204.99
2051,206.56
2101,205.1
2151,236.15
